year,Mexico,ElSalvador,Honduras,Guatemala,Nicaragua,CostaRica,Panama,Colombia,Venezuela,Ecuador,Peru,Chile,Argentina,Brazil,Cuba,DomRepublic,PuertoRico,Total,Before1980,1980_1989,1990_1999,2000_2009,2010_2014,2015plus
2009,11726,3999,12281,1159,555,1914,,,,,,,,,12003,2323,51754,265023,12131,252892,19814,233078,237428,14056
2010,11514,4243,11934,1213,420,2211,,,,,,,,,13123,2486,52740,288679,13130,275549,24500,251049,242181,14728
2011,10899,4479,11504,929,605,1999,,,,,,,,,13155,2662,52836,306135,16035,290100,33927,256173,241289,15781
2012,720,690,10775,11495,,3794,,,,,,,,,2418,349,2036,21586,2341,19245,637,18608,301173,16059
2013,11261,4740,11863,544,602,1471,,,,,,,,,12955,2679,51353,39150,4004,35146,1639,33507,299048,16881
2014,11671,4789,12318,577,647,1652,,,,,,,,,13032,3651,50241,58200,5690,52510,2725,49785,291578,16088
2015,13098,1493,498,4665,12315,6095,783,,,,,,,,17858,3237,77,84895,8619,76276,4871,71405,287380,15860
2016,13520,1623,626,5263,12819,5896,701,,,,,,,,17634,3079,53,113395,10262,103133,8097,95036,279884,16141
2017,13898,1761,691,6083,13374,5698,524,,,,,,,,19719,2637,37,142116,11731,130385,11036,119349,280401,16751
2018,13999,1825,740,7000,13399,6134,600,,,,,,,,21064,2275,36,171761,14276,157485,15456,142029,276486,17441
2019,2869,11327,18345,1308,7420,443,5922,,,,,542,652,13400,3936,490,19510,202567,15593,186974,19944,167030,271935,17759
2020,2990,14356,19117,1131,9013,620,5936,,,,,552,693,13917,5553,397,17949,233862,18648,215214,26722,188492,259751,18316
2021,2980,15744,18227,1289,9307,725,6356,,,,,422,637,13990,5445,704,20185,258811,22702,236109,31846,204263,258622,18166
2022,133983,20089,17885,23681,3021,2737,3146,18897,17205,3182,6791,1414,2356,16444,8286,9241,16029,293675,27074,266601,42600,224001,255106,18281
2023,140727,22915,21323,28133,4668,3008,3327,22802,20093,3699,7188,1631,2784,17895,10073,10081,16225,333879,30771,303108,53681,249427,263588,19218
